Title,Location,Rent,Area,Furnishing,Bathrooms
"4 BHK Flat for Rent in Ajmera Green Acres, Hulimavu, Bangalore",,"₹70,000",Carpet Area2400 sqft,4,4.0
"2 BHK Flat for Rent in ITI Layout HSR Layout, Bangalore",,"₹50,000",Carpet Area1300 sqft,2,2.0
"3 BHK Flat for Rent in Mahindra Windchimes, Arekere, Bangalore",,"₹75,000",Carpet Area1500 sqft,3,3.0
"3 BHK Flat for Rent in ARS Green Villae Rosaceae, Sarjapur Road, Bangalore",,"₹26,000",Carpet Area950 sqft,2,2.0
"3 BHK Flat for Rent in Vijaya Bank Layout Bommanahalli, Bangalore",,"₹44,999",Carpet Area1090 sqft,2,2.0
"2 BHK Flat for Rent in Kannamangala, Bangalore",,"₹34,000",Carpet Area790 sqft,2,2.0
"3 BHK Flat for Rent in Embassy Lake Terraces, Hebbal, Bangalore",,₹2.5 Lac,Carpet Area3150 sqft,3,3.0
"3 BHK Villa for Rent in Adarsh Palm Retreat, Bellandur Bangalore",,₹2.3 Lac,Carpet Area2400 sqft,4,4.0
"3 BHK Flat for Rent in Aanvi Alps, Sarjapur Road, Bangalore",,"₹45,000",Super Area1450 sqft,2,2.0
"3 BHK Flat for Rent in Sobha HRC Pristine, Jakkur, Bangalore",,₹1.3 Lac,Carpet Area1475 sqft,3,3.0
"2 BHK Flat for Rent in Prestige Park View, Whitefield, Bangalore",,"₹65,000",Carpet Area1017 sqft,2,2.0
"3 BHK Flat for Rent in SRKG Luxepolis, Sivanchetti Gardens, Bangalore",,₹1.3 Lac,Carpet Area5293 sqft,3,3.0
4 BHK House for Rent in Mysore Road Bangalore,,"₹35,000",Super Area2400 sqft,4,4.0
"3 BHK Flat for Rent in Shanti Nagar, Bangalore",,₹1.2 Lac,Super Area2142 sqft,3,3.0
"3 BHK Flat for Rent in Total Time, Indiranagar, Bangalore",,₹3 Lac,Carpet Area2929 sqft,4,4.0
"4 BHK Flat for Rent in Prestige Woodside, BSF Campus, Bangalore",,₹1 Lac,Carpet Area3122 sqft,4,4.0
"3 BHK Flat for Rent in L&T Raintree Boulevard, Hebbal, Bangalore",,₹1.5 Lac,Carpet Area1430 sqft,3,3.0
"1 BHK Flat for Rent in Prestige Finsbury Park Regent, Bagalur Main Road, Bangalore",,"₹21,000",Super Area646 sqft,1,1.0
"3 BHK Flat for Rent in Haralur, Bangalore",,"₹62,000",Carpet Area1500 sqft,3,3.0
"3 BHK Villa for Rent in Epip Zone, Whitefield Bangalore",,₹3.5 Lac,Carpet Area3800 sqft,4,4.0
"3 BHK Flat for Rent in Hennur Main Road, Bangalore",,"₹50,000",Carpet Area1500 sqft,3,3.0
"3 BHK Flat for Rent in Sahakar Nagar, Bangalore",,"₹75,000",Carpet Area1756 sqft,3,3.0
4 BHK House for Rent in Jayanagar Bangalore,,"₹80,000",Super Area2700 sqft,3,3.0
Office Space for Rent in Rajanukunte Bangalore,,"₹55,000",Super Area2500 sqft,Bachelors/Family,3.0
Office Space for Rent in Ashok Nagar Bangalore,,"₹40,000",Carpet Area700 sqft,Bachelors/Family,15.0
"Office Space for Rent in Epip Zone, Whitefield Bangalore",,₹1.7 Lac,Super Area2413 sqft,Bachelors/Family,4.0
Office Space for Rent in Phase 2nd JP Nagar Bangalore,,₹2.9 Lac,Carpet Area3600 sqft,Bachelors/Family,3.0
"1 BHK Flat for Rent in Prestige Jindal City, Tumkur Road, Bangalore",,"₹25,000",Carpet Area422 sqft,1,28.0
"2 BHK Flat for Rent in Mantri Serenity, Gubbalala, Subramanyapura, Bangalore",,"₹36,000",Carpet Area880 sqft,2,2.0
Office Space for Rent in Kamanahalli Bangalore,,"₹21,000",Carpet Area350 sqft,Bachelors/Family,5.0
"3 BHK Flat for Rent in Opulent Spire, Block 9th Jayanagara, Bangalore",,₹1.9 Lac,Carpet Area2400 sqft,4,5.0
"3 BHK Flat for Rent in Mahaveer Tuscan, Hoodi, Hoodi, Bangalore",,"₹65,000",Super Area1370 sqft,3,3.0
"3 BHK Flat for Rent in Bellandur, Outer Ring Road, Bangalore",,"₹80,000",Carpet Area1750 sqft,3,3.0
"Office Space for Rent in Epip Zone, Whitefield Bangalore",,₹1.2 Lac,Carpet Area2000 sqft,Bachelors/Family,3.0
Industrial Shed for Rent in Tumkur Road Bangalore,,₹1.1 Lac,"Super Area12,000 sqft",Immediately,
"3 BHK Flat for Rent in Global Aura, Phase 1 Peenya, Bangalore",,"₹22,000",Carpet Area1350 sqft,2,2.0
2 BHK House for Rent in Stage 3rd RR Nagar Bangalore,,"₹14,000",Super Area1200 sqft,1,1.0
"3 BHK Flat for Rent in Pashmina Waterfront, Battarahalli, Bangalore",,"₹60,000",Super Area1857 sqft,3,3.0
"2 BHK House for Rent in Ranganatha Layout, Mahadevapura Bangalore",,"₹20,000",Carpet Area1000 sqft,2,2.0
Office Space for Rent in Basavanapura Krishnarajapura Bangalore,,₹1.1 Lac,Carpet Area1700 sqft,Bachelors/Family,5.0
"3 BHK Flat for Rent in Krypton at Brigade Eldorado, Huvinayakanahalli, Bangalore",,"₹25,000",Carpet Area800 sqft,2,2.0
"2 BHK Flat for Rent in Elegance Garnet, Bellandur, Outer Ring Road, Bangalore",,"₹50,000",Carpet Area995 sqft,2,2.0
4 BHK Villa for Rent in Sahakar Nagar Bangalore,,₹1.3 Lac,Carpet Area3300 sqft,4,4.0
"Industrial Building for Rent in New Guddadahalli, Guddadahalli Bangalore",,₹1.6 Lac,Super Area4300 sqft,Immediately,
Industrial Building for Rent in Phase 1 Peenya Bangalore,,₹15 Lac,"Super Area50,000 sqft",Immediately,
"2 BHK Flat for Rent in Kethana Eternal Blossom, Kadubeesanahalli, Bangalore",,"₹45,000",Carpet Area1100 sqft,2,2.0
"2 BHK Flat for Rent in Incor Opulence, Gunjur, Bangalore",,"₹30,000",Carpet Area900 sqft,2,2.0
"1 BHK Flat for Rent in Vittasandra, Bangalore",,"₹7,000",Carpet Area600 sqft,1,1.0
Shop for Rent in RR Nagar Bangalore,,₹1.3 Lac,Carpet Area3250 sqft,Immediately,
Industrial Building for Rent in Kumbalgodu Bangalore,,₹2.3 Lac,"Super Area18,000 sqft",Immediately,
Office Space for Rent in Stage 2nd West of Chord Road Bangalore,,₹2.5 Lac,Super Area1200 sqft,Bachelors/Family,1.0
"3 BHK Flat for Rent in Max Sunflower, Kadugodi, Bangalore",,"₹33,000",Carpet Area1450 sqft,3,3.0
"Office Space for Rent in Hoodi, Hoodi Bangalore",,₹5.6 Lac,Carpet Area7500 sqft,Bachelors/Family,3.0
1 BHK House for Rent in anjanapura bda layout Bangalore,,"₹7,700",Carpet Area530 sqft,1,1.0
Office Space for Rent in Kodihalli Bangalore,,₹2 Lac,Super Area2400 sqft,Immediately,
"3 BHK Flat for Rent in Srinidhi Residency, Basavanagara, Bangalore",,"₹22,000",Carpet Area1580 sqft,2,3.0
"3 BHK Flat for Rent in Corporate Suncity Apartments, Sarjapur Road, Bangalore",,"₹63,000",Super Area1805 sqft,3,3.0
"2 BHK Flat for Rent in Royal Garden, Hosur Road, Bangalore",,"₹30,000",Super Area1080 sqft,2,2.0
Industrial Shed for Rent in K Channasandra Bangalore,,₹3.5 Lac,Super Area7548 sqft,Immediately,
"3 BHK Flat for Rent in Prestige Finsbury Park Regent, Bagaluru, Bangalore",,"₹38,000",Carpet Area898 sqft,2,2.0
"3 BHK Flat for Rent in Prestige Lakeside Habitat, Whitefield, Bangalore",,₹1.1 Lac,Carpet Area1700 sqft,3,3.0
"3 BHK Flat for Rent in Keya The Green Terraces, Electronic City, Bangalore",,₹22 Lac,Super Area1800 sqft,3,3.0
6 BHK Villa for Rent in J P Nagar Bangalore,,₹4 Lac,Carpet Area8000 sqft,5,5.0
Warehouse/ Godown for Rent in Hoskote Malur Road Bangalore,,"₹40,000",Super Area3000 sqft,Immediately,
2 BHK House for Rent in Hallehalli Bangalore,,"₹10,000",Super Area600 sqft,1,1.0
4 BHK Villa for Rent in Sarjapur Road Bangalore,,"₹55,000",Super Area2032 sqft,4,4.0
Coworking Space in Block 4th Jayanagar Bangalore,,Call for Price,Carpet Area1700 sqft,Bachelors/Family,4.0
2 BHK House for Rent in Annapoorneshwari Nagar Naagarabhaavi Bangalore,,"₹11,000",Carpet Area800 sqft,1,2.0
"3 BHK Flat for Rent in Puravankara Purva Westend, Hosur Road, Bangalore",,₹1 Lac,Super Area1906 sqft,3,19.0
"1 BHK Flat for Rent in Sobha Dream Gardens, Thanisandra, Bangalore",,"₹28,000",Super Area752 sqft,1,1.0
2 BHK House for Rent in Ramohalli Bangalore,,"₹20,000",Carpet Area1200 sqft,2,2.0
Land for Rent in Budigere Cross Bangalore,,₹10 Lac,Built Area75000 sqft,Immediately,
Office Space for Rent in 4th block Jayanagar Bangalore,,"₹35,000",Carpet Area500 sqft,Bachelors/Family,2.0
2 BHK Flat for Rent in Bangalore,,"₹16,500",Super Area1200 sqft,2,3.0
Office Space for Rent in Block 6th Koramangala Bangalore,,₹5.5 Lac,Carpet Area7600 sqft,Bachelors/Family,3.0
"2 BHK Flat for Rent in GCN Green Springs, Vijayanagara, Bangalore",,"₹18,000",Carpet Area1100 sqft,2,5.0
Land for Rent in Whitefield Bangalore,,₹5 Lac,,Immediately,
"Warehouse/ Godown for Rent in Hebbagodi, Bommasandra Bangalore",,"₹68,000",Super Area2300 sqft,Immediately,
2 BHK House for Rent in Stage 2nd Banashankari Bangalore,,"₹30,000",Carpet Area1100 sqft,2,2.0
Office Space for Rent in Hebbal Kempapura Bangalore,,₹1.2 Lac,Carpet Area2957 sqft,Bachelors/Family,3.0
Plot/Land for Rent in Anekal Bangalore,,₹2.5 Lac,Plot Area50000 sqft,50000 sqft,
"2 BHK Flat for Rent in UKN Interlaken, Whitefield, Bangalore",,"₹65,000",Super Area1230 sqft,2,2.0
4 BHK Villa for Rent in Stage 1 BTM Layout Bangalore,,"₹75,000",Carpet Area2500 sqft,3,3.0
"Warehouse/ Godown for Rent in Railway station road, Malur Bangalore",,"₹60,000",Super Area6000 sqft,Immediately,
3 BHK Flat for Rent in Bangalore,,"₹25,000",Carpet Area900 sqft,1,1.0
1 BHK House for Rent in Block 11th Anjanapura Bangalore,,"₹17,000",Carpet Area600 sqft,1,1.0
"Coworking Space in Manyata Residency, Thanisandra Bangalore",,Call for Price,Carpet Area250 sqft,Bachelors/Family,3.0
"2 BHK Flat for Rent in V2 Win Apartments, Hennur Main Road, Bangalore",,"₹30,000",Carpet Area1050 sqft,2,2.0
Industrial Land for Rent in Mahadeva Kodigehalli Bangalore,,₹4.4 Lac,Built Area55000 sqft,Immediately,
"Office Space for Rent in Sundar Ram Shetty Nagar, Bilekahalli, Bannerghatta main Road Bangalore",,₹1.3 Lac,Carpet Area2400 sqft,Bachelors/Family,3.0
"2 BHK Flat for Rent in Kogilu, Bangalore",,"₹15,000",Carpet Area750 sqft,2,2.0
"1 BHK Flat for Rent in Garudachar Palya, Mahadevapura, Bangalore",,"₹8,500",Carpet Area1000 sqft,1,1.0
"3 BHK Flat for Rent in Tristar Aishwarya, Pattandur Agrahara, Whitefield, Bangalore",,"₹29,000",Carpet Area1100 sqft,3,3.0
Warehouse/ Godown for Rent in Thanisandra Bangalore,,₹1.5 Lac,Super Area3000 sqft,Immediately,
Industrial Building for Rent in Koramangala Industrial Layout Bangalore,,₹3 Lac,Super Area3000 sqft,Immediately,
"2 BHK Flat for Rent in Balagere Road, Bangalore",,"₹20,000",Carpet Area650 sqft,2,2.0
"3 BHK Flat for Rent in Sadahalli, Bangalore",,"₹32,000",Carpet Area1000 sqft,3,3.0
Land for Rent in Sasiveghatta Bangalore,,₹1.3 Lac,Built Area25000 sqft,Immediately,
Shop for Rent in Block 4th Jayanagar Bangalore,,₹3 Lac,Carpet Area3750 sqft,Immediately,
Office Space for Rent in Rajanukunte Bangalore,,"₹70,000",Carpet Area1450 sqft,Bachelors/Family,2.0
Showroom for Rent in Stage 1st Peenya Bangalore,,₹2 Lac,Carpet Area2000 sqft,Bachelors/Family,1.0
Showroom for Rent in RT Nagar Bangalore,,₹2.2 Lac,Super Area4000 sqft,Bachelors/Family,4.0
Showroom for Rent in Parappana Agrahara Bangalore,,₹1 Lac,Super Area2700 sqft,Bachelors/Family,1.0
3 BHK House for Rent in Mallasandra Bangalore,,"₹30,000",Carpet Area2000 sqft,3,3.0
"2 BHK Flat for Rent in SJR Park Vista, Sarjapur Road, Bangalore",,"₹70,000",Carpet Area1225 sqft,2,2.0
2 BHK House for Rent in Yelahanka New Town Bangalore,,"₹19,000",Carpet Area950 sqft,2,2.0
Warehouse/ Godown for Rent in Kanakapura Road Bangalore,,₹13 Lac,"Super Area56,000 sqft",Immediately,
Office Space for Rent in Hsr Layout Bangalore,,₹4 Lac,Super Area4000 sqft,Bachelors/Family,4.0
Office Space for Rent in Chandra Layout Bangalore,,"₹75,000",Super Area2400 sqft,Bachelors/Family,2.0
1 BHK House for Rent in Varthur Bangalore,,"₹14,000",Carpet Area600 sqft,1,1.0
"2 BHK Flat for Rent in Pragathi Mansion, Mathikere, Bangalore",,"₹24,000",Carpet Area900 sqft,2,2.0
Land for Rent in Attibele Bangalore,,"₹50,000",Built Area5112 sqft,Immediately,
"2 BHK House for Rent in Sidedahalli, near Bagalagunte Bangalore",,"₹16,000",Carpet Area1000 sqft,2,2.0
"2 BHK Flat for Rent in Goyal Orchid Piccadilly, Thanisandra Main Road, Bangalore",,"₹39,000",Carpet Area1000 sqft,2,2.0
"2 BHK Flat for Rent in MJR Pearl, Whitefield, Bangalore",,"₹70,000",Carpet Area1400 sqft,2,14.0
"2 BHK Flat for Rent in Doddabanahalli, Bangalore",,"₹20,000",Carpet Area850 sqft,2,2.0
"3 BHK Flat for Rent in GRC Shreekrish, Sarjapur Road, Bangalore",,"₹59,000",Super Area1515 sqft,3,3.0
Office Space for Rent in Stage 2nd Rajajinagar Bangalore,,"₹80,000",Carpet Area1162 sqft,Bachelors/Family,4.0
"3 BHK Flat for Rent in Prakruthi Solitaire, Electronic City, Bangalore",,"₹40,000",Super Area1845 sqft,3,3.0
2 BHK House for Rent in Nagasandra Bangalore,,"₹16,800",Super Area1000 sqft,2,2.0
Showroom for Rent in Marathahalli Bangalore,,₹2.5 Lac,Super Area552 sqft,Bachelors/Family,2.0
"3 BHK Flat for Rent in Tuscan Royale Manor, Hennur Main Road, Bangalore",,"₹30,000",Super Area2700 sqft,3,3.0
Showroom for Rent in Gollarahatti Bangalore,,₹11 Lac,Carpet Area16000 sqft,Immediately,
Land for Rent in Dommasandra Bangalore,,₹6 Lac,,Immediately,
Industrial Land for Rent in New Timberyard Layout Bangalore,,₹10 Lac,Built Area18800 sqft,Immediately,
Land for Rent in Kammasandra Electronic City Bangalore,,₹3 Lac,Built Area7500 sqft,Immediately,
Industrial Land for Rent in Bommasandra Jigani Link Road Bangalore,,₹12 Lac,Built Area40000 sqft,Immediately,
"Office Space for Rent in Ngo Colony, Wilson Garden Bangalore",,₹1.6 Lac,Carpet Area4200 sqft,Bachelors/Family,2.0
Land for Rent in Bhadrappa Layout Koti Hosahalli Bangalore,,₹2 Lac,Built Area5600 sqft,Immediately,
Plot/Land for Rent in Sarjapura Bangalore,,₹4.20 Cr,Plot Area1200 sqft,1200 sqft,
Warehouse/ Godown for Rent in Wearhouse and gowdon Bangalore,,₹6 Lac,"Super Area20,000 sqft",Immediately,
Warehouse/ Godown for Rent in Balepete Bangalore,,₹1.5 Lac,Super Area4000 sqft,Immediately,
Showroom for Rent in Yelahanka Bangalore,,₹1.2 Lac,Super Area2300 sqft,Bachelors/Family,3.0
Showroom for Rent in Basavanagudi Bangalore,,₹1.7 Lac,Carpet Area1700 sqft,Bachelors/Family,2.0
Office Space for Rent in Adugodi Bangalore,,₹29 Lac,Carpet Area18837 sqft,Bachelors/Family,4.0
Warehouse/ Godown for Rent in MV Extenstion Bangalore,,₹4.1 Lac,"Super Area16,500 sqft",Bachelors/Family,
Office Space for Rent in Phase 1st JP Nagar Bangalore,,₹2 Lac,Carpet Area3500 sqft,Bachelors/Family,3.0
Office Space for Rent in Btm Layout Bangalore,,"₹75,000",Carpet Area2500 sqft,Bachelors/Family,2.0
2 BHK House for Rent in Block 4th HBR Layout Bangalore,,"₹10,500",Carpet Area1044 sqft,1,1.0
"3 BHK Flat for Rent in Neeladri Nagar, Bangalore",,"₹27,500",Carpet Area1300 sqft,3,3.0
Office Space for Rent in Indiranagar Bangalore,,₹1.5 Lac,Carpet Area1400 sqft,Bachelors/Family,2.0
Office Space for Rent in Bagaluru Bangalore,,₹4.4 Lac,"Super Area65,000 sqft",Bachelors/Family,6.0
Office Space for Rent in Sahakar Nagar Bangalore,,₹1.3 Lac,Carpet Area1850 sqft,Bachelors/Family,2.0
"Office Space for Rent in Domlur, Domlur Bangalore",,"₹75,000",Carpet Area1800 sqft,Bachelors/Family,1.0
"2 BHK Flat for Rent in Brigade Panorama, Mysore Road, Bangalore",,"₹15,000",Super Area980 sqft,2,2.0
"1 BHK Flat for Rent in Metro Eleganza, Garudachar Palya, Mahadevapura, Bangalore",,"₹10,000",Super Area515 sqft,1,1.0
"3 BHK Flat for Rent in Isha Misty Green, Channasandra, Bangalore",,"₹40,000",Super Area1436 sqft,2,2.0
"2 BHK Flat for Rent in Pride Springfields, Uttarahalli Hobli, Bangalore",,₹75 Lac,Super Area949 sqft,2,2.0
"2 BHK Flat for Rent in Doddabale, Bangalore",,"₹12,000",Carpet Area750 sqft,2,2.0
"2 BHK Flat for Rent in Annasandrapalya Main Road, Bangalore",,"₹35,000",Carpet Area1180 sqft,2,2.0
4 BHK Villa for Rent in Thanisandra Bangalore,,"₹90,000",Carpet Area3500 sqft,6,6.0
"3 BHK Flat for Rent in Provident Welworth City, Doddaballapur Main Road, Bangalore",,"₹20,000",Carpet Area1075 sqft,2,2.0
"Office Space for Rent in Pattabhirama Nagar, Jayanagar Bangalore",,₹1.8 Lac,Carpet Area2200 sqft,Bachelors/Family,4.0
"1 BHK Flat for Rent in Yemalur, Bellandur, Bangalore",,"₹12,000",Carpet Area550 sqft,1,1.0
3 BHK House for Rent in Nagarbhavi 2nd stage Bangalore,,"₹60,000",Carpet Area1600 sqft,3,3.0
3 BHK House for Rent in Kalena Agrahara Bangalore,,"₹43,000",Super Area3000 sqft,4,4.0
1 BHK Flat for Rent in Bangalore,,"₹25,000",Super Area450 sqft,Bachelors,1.0
Office Space for Rent in Rajajinagar Bangalore,,₹11.6 Lac,Carpet Area3500 sqft,Bachelors/Family,5.0
Office Space for Rent in Kanakapura Road Bangalore,,₹2 Lac,Carpet Area2100 sqft,Bachelors/Family,12.0
Office Space for Rent in Brookefield Bangalore,,₹2.5 Lac,Carpet Area3000 sqft,Bachelors/Family,3.0
"1 BHK House for Rent in Mcechs Layout, Jakkuru Bangalore",,"₹11,999",Super Area650 sqft,1,3.0
"2 BHK Flat for Rent in Prestige Lake Ridge, Uttarahalli Hobli, Bangalore",,"₹40,000",Super Area1358 sqft,2,2.0
"3 BHK Flat for Rent in Pashmina Waterfront, Battarahalli, Bangalore",,"₹65,000",Super Area2100 sqft,3,3.0
"3 BHK Flat for Rent in A.Rajagopal Reddy Buldings, Marathahalli, Bangalore",,"₹90,000",Carpet Area1500 sqft,3,21.0
Office Space for Rent in Horamavu Bangalore,,₹1.5 Lac,Carpet Area3250 sqft,Bachelors/Family,4.0
"4 BHK Flat for Rent in Pulikeshi Nagar, Bangalore",,₹1.1 Lac,Carpet Area2500 sqft,4,4.0
2 BHK Flat for Rent in Bangalore,,"₹37,000",Carpet Area1100 sqft,2,2.0
4 BHK Villa for Rent in Budigere Cross Bangalore,,₹1.1 Lac,Super Area3700 sqft,4,4.0
"3 BHK Flat for Rent in Sai Poorna Premier, Kudlu Gate, Bangalore",,"₹55,000",Carpet Area1535 sqft,3,3.0
2 BHK Flat for Rent in Bangalore,,"₹12,500",Carpet Area860 sqft,2,2.0
"3 BHK Flat for Rent in Pashmina Waterfront, RIFCO Shantiniketan Layout, Bangalore",,"₹75,000",Carpet Area1881 sqft,3,3.0
Office Space for Rent in Block 1st JayaNagar Bangalore,,₹1.5 Lac,Super Area6000 sqft,Bachelors/Family,3.0
Warehouse/ Godown for Rent in Thanisandra Main Road Bangalore,,"₹60,000",Super Area1350 sqft,Immediately,
2 BHK House for Rent in Neeladri Nagar Bangalore,,"₹22,000",Carpet Area1100 sqft,2,2.0
"2 BHK Flat for Rent in Kanaka Nagar Hebbal, Bangalore",,"₹20,000",Carpet Area1200 sqft,2,2.0
"2 BHK Flat for Rent in Mukund Apartments, Victoria Layout, Victoria Layout, Victoria Road, Bangalore",,"₹45,000",Carpet Area1100 sqft,2,2.0
"3 BHK Flat for Rent in Keerthi Krishna Viva, Kasavanahalli, Bangalore",,"₹75,000",Carpet Area1350 sqft,3,3.0
"3 BHK Villa for Rent in Ecc Road, Whitefield Bangalore",,₹1.5 Lac,Carpet Area3688 sqft,5,5.0
Office Space for Rent in Stage 2nd Banashankari Bangalore,,"₹75,000",Carpet Area1000 sqft,Bachelors/Family,2.0
Warehouse/ Godown for Rent in Hoskote Bangalore,,₹3 Lac,"Super Area35,000 sqft",Immediately,
"3 BHK Flat for Rent in Oceanus Vista, Kasavanahalli, Bangalore",,"₹65,000",Carpet Area1515 sqft,3,13.0
"3 BHK Flat for Rent in Bhartiya City Nikoo Homes, Thanisandra, Bangalore",,"₹48,000",Carpet Area1306 sqft,3,3.0
Office Space for Rent in BDS Layout Bangalore,,₹1 Lac,Carpet Area700 sqft,Bachelors/Family,1.0
House for Rent in Horamavu Bangalore,,"₹11,000",Carpet Area1300 sqft,Bachelors,
"2 BHK Flat for Rent in Concorde Auriga, Medahalli Main Road, Bangalore",,"₹40,000",Super Area1264 sqft,2,2.0
"3 BHK Flat for Rent in Bhartiya City Leela Residences, Thanisandra Main Road, Bangalore",,₹3 Lac,Carpet Area2900 sqft,4,4.0
"3 BHK Flat for Rent in Pashmina Waterfront, Battarahalli, Bangalore",,"₹70,000",Carpet Area1300 sqft,3,3.0
Office Space for Rent in NR Colony Basavanagudi Bangalore,,"₹39,500",Carpet Area1000 sqft,Bachelors/Family,3.0
Warehouse/ Godown for Rent in Chikkabanavara Bangalore,,₹1.6 Lac,Super Area8000 sqft,Immediately,
2 BHK Flat for Rent in Bangalore,,"₹18,000",Super Area1150 sqft,2,3.0
Showroom for Rent in Block 4 Koramangala Bangalore,,₹3.1 Lac,Carpet Area3126 sqft,Bachelors/Family,2.0
Office Space for Rent in Whitefield Bangalore,,"₹82,900",Carpet Area1500 sqft,Bachelors/Family,4.0
Office Space for Rent in Sonnenahalli Krishnarajapura Bangalore,,₹1.3 Lac,Carpet Area3500 sqft,Bachelors/Family,4.0
"3 BHK Flat for Rent in Sumo Sonnet, Kudlu Gate, Bangalore",,"₹65,000",Carpet Area1205 sqft,2,2.0
"Office Space for Rent in Hrbr Layout, Kalyan Nagar, Outer Ring Road Bangalore",,₹1.2 Lac,Super Area2100 sqft,Bachelors/Family,3.0
4 BHK House for Rent in Stage 2 Naagarabhaavi Bangalore,,"₹40,000",Carpet Area1760 sqft,4,4.0
"2 BHK Flat for Rent in Prestige Lakeside Habitat, Whitefield, Bangalore",,"₹46,000",Super Area1216 sqft,2,24.0
3 BHK Villa for Rent in Phase 9th JP Nagar Bangalore,,₹1.5 Lac,Carpet Area6000 sqft,5,5.0
Office Space for Rent in Btm Layout Bangalore,,₹5.8 Lac,Carpet Area6800 sqft,Bachelors/Family,5.0
"3 BHK House for Rent in Murugeshpalya, Bangalore Bangalore",,"₹45,000",Super Area1350 sqft,2,1.0
Office Space for Rent in Yelahanka Bangalore,,"₹25,000",Carpet Area1000 sqft,Bachelors/Family,2.0
"1 BHK Flat for Rent in Eden At Brigade Cornerstone Utopia, Varthur, Bangalore",,"₹30,000",Super Area799 sqft,1,1.0
"3 BHK Flat for Rent in Purva Zenium 2, Kempegowda International Airport Road, Bangalore",,"₹45,000",Super Area1463 sqft,3,3.0
"3 BHK Flat for Rent in Paramount Raghavendra Arisht, Kundalahalli, Brookefield, Bangalore",,"₹65,000",Carpet Area1200 sqft,3,3.0
Warehouse/ Godown for Rent in Garvebhavipalya Bangalore,,₹3.5 Lac,"Super Area14,000 sqft",Immediately,
"3 BHK Flat for Rent in DSR Whitewaters Phase 1, Sarjapur Road, Bangalore",,"₹65,000",Carpet Area1596 sqft,3,3.0
Office Space for Rent in JP Nagar Phase 3 Bangalore,,₹5 Lac,Carpet Area3500 sqft,Bachelors/Family,3.0
Office Space for Rent in J P Nagar Bangalore,,₹10 Lac,Carpet Area8000 sqft,Bachelors/Family,6.0
"2 BHK Flat for Rent in Thanisandra, Bangalore",,"₹38,000",Super Area1058 sqft,2,23.0
2 BHK House for Rent in Naganathapura Rayasandra Bangalore,,"₹70,000",Super Area600 sqft,1,1.0
Office Space for Rent in Koramangala Bangalore,,₹1.5 Lac,Carpet Area2400 sqft,Bachelors/Family,5.0
Showroom for Rent in Malleshwaram Bangalore,,₹12 Lac,Carpet Area3450 sqft,Bachelors/Family,3.0
1 BHK House for Rent in Kanakapura Road Bangalore,,"₹32,000",Carpet Area950 sqft,1,1.0
"3 BHK Flat for Rent in Vigneshwara Cedar Woods, Hennur Main Road, Bangalore",,"₹32,000",Super Area1759 sqft,3,3.0
Industrial Building for Rent in Phase 7 JP Nagar Bangalore,,₹2 Lac,Super Area5000 sqft,Immediately,
Office Space for Rent in Yeswanthpur Bangalore,,₹1.2 Lac,Carpet Area1800 sqft,Bachelors/Family,3.0
4 BHK House for Rent in Muthanallur Bangalore,,"₹16,000",Carpet Area1225 sqft,3,3.0
3 BHK Flat for Rent in Bangalore,,"₹35,000",Carpet Area1100 sqft,2,4.0
"2 BHK Flat for Rent in United Elysium 2, Channasandra, Bangalore",,"₹34,000",Carpet Area800 sqft,2,2.0
"2 BHK Flat for Rent in Block 2nd HBR Layout, Bangalore",,"₹32,000",Super Area1100 sqft,2,4.0
"3 BHK Flat for Rent in Vijayasri Eldorado, Old Madras Road, Bangalore",,"₹25,000",Carpet Area1220 sqft,2,2.0
Office in IT Park/ SEZ for Rent in Mahadevapura Bangalore,,₹1.2 Lac,Carpet Area2800 sqft,Bachelors/Family,3.0
3 BHK House for Rent in Kaval Bairasandra Bangalore,,"₹35,000",Super Area2000 sqft,2,2.0
Office Space for Rent in Sector 2 HSR Layout Bangalore,,₹7.5 Lac,Super Area6400 sqft,Bachelors/Family,4.0
2 BHK House for Rent in Vidyaranyapura Bangalore,,"₹18,000",Carpet Area1050 sqft,2,2.0
Office Space for Rent in Block 5th Koramangala Bangalore,,₹14 Lac,Carpet Area7000 sqft,Bachelors/Family,4.0
Office Space for Rent in Indiranagar Bangalore,,₹9 Lac,Carpet Area4000 sqft,Bachelors/Family,6.0
"3 BHK Flat for Rent in Brigade Northridge, Jakkur, Bangalore",,"₹50,000",Carpet Area1650 sqft,3,3.0
"3 BHK Flat for Rent in Mahaveer Ranches, Hosa Road, off Hosur Road, Bangalore",,₹1.2 Lac,Super Area2500 sqft,3,1.0
"3 BHK Flat for Rent in Mahaveer Ranches, Hosa Road, off Hosur Road, Bangalore",,₹1.2 Lac,Super Area2500 sqft,3,1.0
"1 BHK Flat for Rent in Devarachikkana Halli, Bangalore",,"₹16,000",Carpet Area500 sqft,1,1.0
Warehouse/ Godown for Rent in Thyamagondlu Bangalore,,₹23 Lac,"Super Area200,000 sqft",Immediately,
"2 BHK Flat for Rent in Trendsquare Ortus Phase 2, Amrutahalli, Bangalore",,"₹50,000",Super Area1221 sqft,2,2.0
"2 BHK Flat for Rent in BM Marvel, Whitefield, Bangalore",,"₹35,000",Super Area1236 sqft,2,4.0
