Title,Location,Rent,Area,Furnishing,Bathrooms
"3 BHK Flat for Rent in Prestige Ferns Residency, Haralur Main Road, Bangalore",,"₹72,000",Carpet Area1749 sqft,3,3.0
4 BHK House for Rent in Budigere Cross Bangalore,,₹1.8 Lac,Super Area4600 sqft,4,4.0
"2 BHK Flat for Rent in Bren Edgewaters, Sarjapur Road, Bangalore",,"₹55,000",Super Area1121 sqft,2,2.0
"3 BHK Flat for Rent in L And T Raintree Boulevard Phase 2, Jakkuru Layout, Jakkuru, Bangalore",,"₹70,000",Carpet Area1550 sqft,4,4.0
"3 BHK Flat for Rent in Avalon Park At The Prestige City, Sarjapura, Bangalore",,"₹65,000",Carpet Area1252 sqft,3,3.0
"3 BHK Flat for Rent in Sobha Royal Pavilion, Hadosiddapura, Chikkakannalli, Bangalore",,"₹68,900",Super Area1507 sqft,3,3.0
"3 BHK Flat for Rent in Sobha Lake Garden, Krishnarajapura, Bangalore",,"₹47,000",Super Area1531 sqft,2,2.0
"3 BHK Flat for Rent in Brigade Gateway, Rajajinagar, Bangalore",,₹1.3 Lac,Super Area2020 sqft,3,3.0
"4 BHK Flat for Rent in L&T Raintree Boulevard, Hebbal, Bangalore",,₹1.2 Lac,Carpet Area2320 sqft,4,15.0
"3 BHK Flat for Rent in Sattva Exotic, Kattigenahalli, Bellary Road, Bangalore",,"₹50,000",Carpet Area1034 sqft,2,2.0
"3 BHK Flat for Rent in Bren Celestia, Kaikondrahalli, Bangalore",,"₹65,000",Carpet Area1700 sqft,3,3.0
"2 BHK Flat for Rent in Mantri Premero, Doddakannelli, Bangalore",,"₹42,000",Carpet Area824 sqft,2,2.0
"5 BHK Flat for Rent in Prestige White Meadows Villas, Vijayanagara, Bangalore",,₹3.2 Lac,Carpet Area5900 sqft,5,5.0
"4 BHK Flat for Rent in Embassy Lake Terraces, Hebbal, Bangalore",,₹3 Lac,Carpet Area4200 sqft,4,4.0
"3 BHK Flat for Rent in Puravankara Purva Whitehall, Sarjapur Road, Bangalore",,"₹75,000",Carpet Area1500 sqft,3,3.0
"2 BHK Flat for Rent in Green View Apartments, Jayanagar, Bangalore",,"₹30,000",Carpet Area1410 sqft,2,2.0
3 BHK Villa for Rent in Whitefield Bangalore,,₹1.5 Lac,Carpet Area2100 sqft,4,4.0
4 BHK Villa for Rent in Whitefield Bangalore,,₹2 Lac,Super Area3760 sqft,5,5.0
"3 BHK Flat for Rent in Shriram Luxor, Hennur Main Road, Bangalore",,"₹47,000",Carpet Area1500 sqft,3,3.0
"3 BHK Flat for Rent in Brigade Gateway, Rajajinagar, Bangalore",,"₹80,000",Carpet Area1500 sqft,3,3.0
3 BHK Villa for Rent in Sarjapura Bangalore,,"₹50,000",Carpet Area1458 sqft,3,3.0
"2 BHK Flat for Rent in Godrej Air, Hudi, Bangalore",,"₹70,000",Carpet Area937 sqft,2,2.0
"3 BHK Flat for Rent in Sobha Iris, Bellandur, Outer Ring Road, Bangalore",,"₹78,000",Carpet Area1245 sqft,3,3.0
"3 BHK Flat for Rent in Brigade Gateway, Rajajinagar, Bangalore",,"₹70,000",Carpet Area1400 sqft,3,3.0
"3 BHK Flat for Rent in Prestige Waterford, Ecc Road, Whitefield, Bangalore",,"₹85,000",Carpet Area1600 sqft,4,4.0
"3 BHK Flat for Rent in Embassy Lake Terraces, Subramani Nagar Hebbal, Bangalore",,₹2.5 Lac,Carpet Area3000 sqft,4,4.0
"3 BHK Flat for Rent in Krypton at Brigade Eldorado, Huvinayakanahalli, Bangalore",,"₹45,000",Carpet Area1092 sqft,3,22.0
"2 BHK Flat for Rent in Candeur Rise, Varthur, Bangalore",,"₹45,000",Carpet Area950 sqft,2,2.0
"3 BHK Flat for Rent in Phoenix One Bangalore West, Block D Stage 2nd Rajajinagar, Bangalore",,₹1.8 Lac,Carpet Area1550 sqft,3,3.0
"2 BHK Flat for Rent in Electronic City, Bangalore",,"₹22,000",Carpet Area1312 sqft,2,2.0
"2 BHK Flat for Rent in Brigade El Dorado, Bagalur Main Road, Bangalore",,"₹34,000",Carpet Area471 sqft,2,2.0
"3 BHK Flat for Rent in DSR Eden Greens, Carmelaram, Bangalore",,"₹55,000",Carpet Area1325 sqft,3,3.0
"3 BHK Flat for Rent in Sattva Luxuria, Malleshwaram, Bangalore",,₹1.3 Lac,Carpet Area2400 sqft,3,3.0
"3 BHK Flat for Rent in Mittal Palms, Yelahanka, Bangalore",,"₹37,000",Carpet Area1550 sqft,3,3.0
"2 BHK Flat for Rent in Indiranagar, Bangalore",,"₹95,000",Carpet Area1230 sqft,1,1.0
"3 BHK Flat for Rent in Prestige Estates Shantiniketan, Whitefield, Bangalore",,"₹80,000",Super Area1930 sqft,3,3.0
"3 BHK Flat for Rent in Prestige Falcon City, Kanakapura Road, Bangalore",,"₹58,000",Super Area1591 sqft,3,3.0
"3 BHK Flat for Rent in Total Environment Pursuit of a Radical Rhapsody, Basavanna Nagar, Whitefield, Bangalore",,₹2.2 Lac,Carpet Area2870 sqft,4,4.0
3 BHK Villa for Rent in Horamavu Bangalore,,"₹70,000",Carpet Area1800 sqft,3,3.0
4 BHK Villa for Rent in Varthur Bangalore,,₹2 Lac,Super Area4003 sqft,5,5.0
"3 BHK Flat for Rent in Elita Promenade, Rbi Layout, J P Nagar, Bangalore",,"₹60,000",Super Area1680 sqft,3,3.0
3 BHK Villa for Rent in Kaggalipura Bangalore,,"₹59,000",Carpet Area2500 sqft,4,4.0
"3 BHK Flat for Rent in Godrej Royale Woods, Devanahalli, Bangalore",,"₹30,000",Super Area1157 sqft,2,2.0
"3 BHK Flat for Rent in Prestige Estates Shantiniketan, Whitefield, Bangalore",,"₹90,000",Carpet Area1500 sqft,3,3.0
"3 BHK Flat for Rent in Sumadhura Silver Ripples, Whitefield, Bangalore",,"₹65,000",Carpet Area1650 sqft,3,3.0
"4 BHK Flat for Rent in Pebble Bay, Dollars Colony Stage 2nd RMV, Bangalore",,₹2.2 Lac,Carpet Area2243 sqft,4,4.0
"2 BHK Flat for Rent in Embassy Meadows, Koramangala, Bangalore",,"₹60,000",Super Area1200 sqft,2,2.0
4 BHK Villa for Rent in Yelahanka Bangalore,,₹5.2 Lac,Carpet Area5000 sqft,5,5.0
"2 BHK Flat for Rent in Immadihalli Main Road, Bangalore",,"₹22,000",Carpet Area1200 sqft,1,1.0
1 BHK House for Rent in Chokkanahalli Bangalore,,"₹27,000",Super Area510 sqft,1,1.0
"4 BHK Flat for Rent in Sycon Heritage, Basavanagudi, Bangalore",,₹1.1 Lac,Carpet Area2850 sqft,3,4.0
4 BHK Villa for Rent in Horamavu Bangalore,,₹1.9 Lac,Carpet Area4000 sqft,4,4.0
"2 BHK Flat for Rent in Ajmera Stone Park, Phase 1 Electronics City, Bangalore",,"₹38,000",Carpet Area1200 sqft,2,2.0
"3 BHK Flat for Rent in Karle Zenith, Hebbal, Bangalore",,"₹90,000",Super Area2513 sqft,4,4.0
"3 BHK Flat for Rent in Godrej Ecity, Electronic City, Bangalore",,"₹43,000",Super Area1449 sqft,3,3.0
"3 BHK Flat for Rent in Brigade Cosmopolis, Whitefield, Bangalore",,"₹65,000",Super Area1740 sqft,3,3.0
"4 BHK Flat for Rent in Akme Encore, Brookefield, Bangalore",,₹1.4 Lac,Carpet Area2635 sqft,4,4.0
"3 BHK Flat for Rent in Brigade Cornerstone Utopia, Varthur, Bangalore",,"₹75,000",Carpet Area1200 sqft,3,3.0
"3 BHK Flat for Rent in Karle Zenith, Hebbal, Bangalore",,"₹70,000",Super Area2618 sqft,4,4.0
"1 BHK Flat for Rent in Phase 2 Electronic City, Bangalore",,"₹22,000",Super Area650 sqft,1,1.0
"3 BHK Flat for Rent in Godrej Air, Hoodi, Hoodi, Bangalore",,"₹80,000",Carpet Area1400 sqft,3,3.0
"3 BHK Flat for Rent in Sobha Eternia, Haralur, Bangalore",,"₹65,000",Carpet Area1750 sqft,3,3.0
"2 BHK Flat for Rent in Ankuraa Lotus, Whitefield, Bangalore",,"₹49,000",Carpet Area850 sqft,2,2.0
"3 BHK Flat for Rent in 4th T Block East Jayanagar, Bangalore",,"₹55,000",Carpet Area1500 sqft,2,2.0
"4 BHK Flat for Rent in Whitefield, Bangalore",,₹1.2 Lac,Carpet Area3000 sqft,4,4.0
"3 BHK Flat for Rent in Brigade Meadows, Kanakapura Road, Bangalore",,"₹23,000",Carpet Area1000 sqft,3,3.0
"2 BHK Flat for Rent in Bren Champions Square, Sarjapur Road, Bangalore",,"₹48,000",Super Area1261 sqft,2,2.0
"1 BHK Flat for Rent in Prestige Primrose Hills, Stage 6th Banashankari, Bangalore",,"₹22,000",Super Area589 sqft,1,1.0
"4 BHK Flat for Rent in Prestige White Meadows Villas, Byrappa Layout Sathya Sai Layout, Bangalore",,₹2.5 Lac,Carpet Area4041 sqft,6,6.0
"2 BHK Flat for Rent in Sumadhura Sushantham, Vidyaranyapura, Bangalore",,"₹45,000",Super Area1345 sqft,2,2.0
"3 BHK Villa for Rent in Doopanahalli, Indira nagar Bangalore",,₹1 Lac,Carpet Area1800 sqft,4,4.0
"3 BHK Flat for Rent in Adarsh Palm Retreat Tower I, Adarsh Palm Retreat, Bellandur, Bangalore",,"₹75,000",Super Area1850 sqft,3,3.0
"2 BHK Flat for Rent in SJR Watermark, Sarjapur Road, Bangalore",,"₹60,000",Carpet Area1450 sqft,2,2.0
"5 BHK Flat for Rent in Shine On Apartment, CV Raman Nagar, Bangalore",,₹2.5 Lac,Carpet Area4500 sqft,5,5.0
"1 BHK Flat for Rent in Sector 3 HSR Layout, Bangalore",,"₹27,000",Carpet Area700 sqft,1,1.0
"2 BHK Flat for Rent in Phase 7 JP Nagar, Bangalore",,"₹30,000",Carpet Area1200 sqft,2,2.0
"4 BHK Flat for Rent in Sterling Orchards, Sadashiva Nagar, Bangalore",,₹3 Lac,Carpet Area5000 sqft,6,6.0
"2 BHK Flat for Rent in Stage 2 Indiranagar, Bangalore",,"₹40,000",Carpet Area1050 sqft,2,2.0
"1 BHK Flat for Rent in Aashiyana Apartment, Sun City Layout, Bangalore",,"₹18,000",Carpet Area768 sqft,1,2.0
"3 BHK Flat for Rent in Srinivasa Signature, Sarjapur Road, Bangalore",,"₹65,000",Carpet Area1700 sqft,3,3.0
4 BHK Villa for Rent in Yelahanka Bangalore,,₹2.6 Lac,Carpet Area4000 sqft,4,4.0
"2 BHK Flat for Rent in Balagere, Bangalore",,"₹43,000",Carpet Area885 sqft,2,2.0
"1 BHK Flat for Rent in Prestige Primrose Hills, Stage 6th Banashankari, Bangalore",,"₹22,000",Carpet Area550 sqft,1,1.0
2 BHK House for Rent in Hsr Layout Bangalore,,"₹25,000",Carpet Area800 sqft,2,2.0
"3 BHK Flat for Rent in Incor Carmel Heights, Whitefield, Bangalore",,"₹70,000",Carpet Area1440 sqft,3,3.0
2 BHK Flat for Rent in Bangalore,,"₹39,999",Carpet Area1200 sqft,3,3.0
"3 BHK Flat for Rent in Stage 2 Indiranagar, Bangalore",,"₹70,000",Carpet Area1800 sqft,4,4.0
"3 BHK Flat for Rent in Prestige Elysian, Kalena Agrahara, Bangalore",,"₹55,000",Carpet Area1006 sqft,2,18.0
2 BHK House for Rent in Basaveshwar Nagar Bangalore,,"₹38,000",Carpet Area1650 sqft,2,2.0
4 BHK Villa for Rent in Seegehalli Bangalore,,₹1.3 Lac,Carpet Area2250 sqft,4,4.0
