Title,Location,Rent,Bathrooms,BHK,Area
"3 BHK Flat for Rent in Puravankara Purva Whitehall, Sarjapur Road, Bangalore","Puravankara Purva Whitehall, Sarjapur Road",75000,3.0,3.0,1500
"2 BHK Flat for Rent in Green View Apartments, Jayanagar, Bangalore","Green View Apartments, Jayanagar",30000,2.0,2.0,1410
3 BHK Villa for Rent in Whitefield Bangalore,Whitefield,150000,4.0,3.0,2100
4 BHK Villa for Rent in Whitefield Bangalore,Whitefield,200000,5.0,4.0,3760
"3 BHK Flat for Rent in Shriram Luxor, Hennur Main Road, Bangalore","Shriram Luxor, Hennur Main Road",47000,3.0,3.0,1500
"3 BHK Flat for Rent in Brigade Gateway, Rajajinagar, Bangalore","Brigade Gateway, Rajajinagar",80000,3.0,3.0,1500
3 BHK Villa for Rent in Sarjapura Bangalore,Sarjapura,50000,3.0,3.0,1458
"2 BHK Flat for Rent in Godrej Air, Hudi, Bangalore","Godrej Air, Hudi",70000,2.0,2.0,937
"3 BHK Flat for Rent in Sobha Iris, Bellandur, Outer Ring Road, Bangalore","Sobha Iris, Bellandur, Outer Ring Road",78000,3.0,3.0,1245
"3 BHK Flat for Rent in Brigade Gateway, Rajajinagar, Bangalore","Brigade Gateway, Rajajinagar",70000,3.0,3.0,1400
"3 BHK Flat for Rent in Prestige Waterford, Ecc Road, Whitefield, Bangalore","Prestige Waterford, Ecc Road, Whitefield",85000,4.0,3.0,1600
"2 BHK Flat for Rent in Candeur Rise, Varthur, Bangalore","Candeur Rise, Varthur",45000,2.0,2.0,950
"3 BHK Flat for Rent in Phoenix One Bangalore West, Block D Stage 2nd Rajajinagar, Bangalore","Phoenix One  West, Block D Stage 2nd Rajajinagar",180000,3.0,3.0,1550
"2 BHK Flat for Rent in Electronic City, Bangalore",Electronic City,22000,2.0,2.0,1312
"2 BHK Flat for Rent in Brigade El Dorado, Bagalur Main Road, Bangalore","Brigade El Dorado, Bagalur Main Road",34000,2.0,2.0,471
