Title,Location,Rent,Bathrooms,BHK,Area
"1 BHK Flat for Rent in Divyasree Republic Of Whitefield, Kundalahalli, Brookefield, Bangalore","Divyasree Republic Of Whitefield, Kundalahalli, Brookefield",30000,1.0,1.0,350
"3 BHK Flat for Rent in Assetz Marq 2.0, Kadugodi, Bangalore","Assetz Marq 2.0, Kadugodi",61000,3.0,3.0,1564
"2 BHK Flat for Rent in Nitesh Central Park, Bellary Road, Bangalore","Nitesh Central Park, Bellary Road",32000,2.0,2.0,1061
"2 BHK Flat for Rent in Singasandra, Hosur Road, Bangalore","Singasandra, Hosur Road",28000,2.0,2.0,1150
"2 BHK Flat for Rent in Kolte Patil I Towers Exente, Electronic City, Bangalore","Kolte Patil I Towers Exente, Electronic City",38000,2.0,2.0,1241
"3 BHK Flat for Rent in Puravankara Purva Midtown Residences, Dooravani Nagar, Dooravani Nagar, Bangalore","Puravankara Purva Midtown Residences, Dooravani Nagar, Dooravani Nagar",60000,3.0,3.0,1200
"2 BHK Flat for Rent in Tata Silk Farm, Jayanagar, Bangalore","Tata Silk Farm, Jayanagar",31000,2.0,2.0,1100
"5 BHK Villa for Rent in Sampigehalli, Sampigehalli Bangalore","Sampigehalli, Sampigehalli",75000,5.0,5.0,3750
"3 BHK Flat for Rent in Mantri Manyata Lithos, Hebbal, Bangalore","Mantri Manyata Lithos, Hebbal",60000,3.0,3.0,1810
"2 BHK Flat for Rent in Maithri Shilpitha Splendour Annex, Marathahalli, Bangalore","Maithri Shilpitha Splendour Annex, Marathahalli",40000,2.0,2.0,1180
"3 BHK Flat for Rent in KBR Pearl House, Hebbal, Bangalore","KBR Pearl House, Hebbal",37000,4.0,3.0,1980
"3 BHK Flat for Rent in Goya Orchid Woods, Kothanur, Bangalore","Goya Orchid Woods, Kothanur",43000,3.0,3.0,1258
"3 BHK Flat for Rent in Judicial Layout, Yelahanka, Bangalore","Judicial Layout, Yelahanka",59000,3.0,3.0,2000
"3 BHK Flat for Rent in Northroof Nitesh Hyde Park II, Bannerghatta Main Road, Bangalore","Northroof Nitesh Hyde Park II, Bannerghatta Main Road",43000,2.0,3.0,1000
"3 BHK Flat for Rent in Prestige Garden Bay, Yelahanka, Bangalore","Prestige Garden Bay, Yelahanka",48000,4.0,3.0,1800
"4 BHK Flat for Rent in SNN Clermont, Hebbal, Bangalore","SNN Clermont, Hebbal",150000,4.0,4.0,2300
4 BHK Villa for Rent in Devanahalli Bangalore,Devanahalli,170000,5.0,4.0,4500
2 BHK House for Rent in Block 3rd HBR Layout Bangalore,Block 3rd HBR Layout,32500,2.0,2.0,1150
"2 BHK Flat for Rent in Prestige Ferns Residency, Haralur Main Road, Bangalore","Prestige Ferns Residency, Haralur Main Road",50000,2.0,2.0,1174
"3 BHK Flat for Rent in Concorde Manhattans, Phase 1 Electronics City, Bangalore","Concorde Manhattans, Phase 1 Electronics City",47000,3.0,3.0,1196
"2 BHK Flat for Rent in Ozone Evergreens, Haralur Main Road, Bangalore","Ozone Evergreens, Haralur Main Road",46000,2.0,2.0,977
4 BHK House for Rent in Battarahalli Bangalore,Battarahalli,90000,4.0,4.0,2490
"1 BHK Flat for Rent in Godrej Avenues, Yelahanka, Bangalore","Godrej Avenues, Yelahanka",25000,1.0,1.0,155
"3 BHK Flat for Rent in Mantri Serenity, Kanakapura Road, Bangalore","Mantri Serenity, Kanakapura Road",55000,3.0,3.0,1710
"1 BHK Flat for Rent in Jal Vayu Vihar, Kalyan Nagar, Bangalore","Jal Vayu Vihar, Kalyan Nagar",25000,1.0,1.0,500
"4 BHK Flat for Rent in Arya Lotus, Whitefield, Bangalore","Arya Lotus, Whitefield",65000,4.0,4.0,2600
"3 BHK Flat for Rent in Sobha Royal Pavilion, Sarjapur Road, Bangalore","Sobha Royal Pavilion, Sarjapur Road",66000,3.0,3.0,1092
"3 BHK Flat for Rent in Yarandahalli, Bangalore",Yarandahalli,43000,3.0,3.0,1480
"1 BHK Flat for Rent in Chinnapanna Halli, Bangalore",Chinnapanna Halli,18000,1.0,1.0,900
"3 BHK Flat for Rent in Total Environment Pursuit of a Radical Rhapsody, Whitefield, Bangalore","Total Environment Pursuit of a Radical Rhapsody, Whitefield",120000,3.0,3.0,1927
3 BHK Villa for Rent in Devanahalli Bangalore,Devanahalli,120000,4.0,3.0,2800
"2 BHK Flat for Rent in Stage 2nd BTM Layout, Bangalore",Stage 2nd BTM Layout,43000,2.0,2.0,1500
5 BHK House for Rent in Block 6th Koramangala Bangalore,Block 6th Koramangala,130000,4.0,5.0,1700
"3 BHK House for Rent in Sathya Layout, Mahadevapura Bangalore","Sathya Layout, Mahadevapura",60000,4.0,3.0,1402
"3 BHK Flat for Rent in MBR Sapphire, Bannerghatta Main Road, Bangalore","MBR Sapphire, Bannerghatta Main Road",25000,2.0,3.0,1100
"3 BHK Flat for Rent in Brigade Gateway, Rajajinagar, Bangalore","Brigade Gateway, Rajajinagar",110000,3.0,3.0,1768
"4 BHK Flat for Rent in Ajmera Green Acres, Hulimavu, Bangalore","Ajmera Green Acres, Hulimavu",70000,4.0,4.0,2400
"2 BHK Flat for Rent in ITI Layout HSR Layout, Bangalore",ITI Layout HSR Layout,50000,2.0,2.0,1300
"3 BHK Flat for Rent in Mahindra Windchimes, Arekere, Bangalore","Mahindra Windchimes, Arekere",75000,3.0,3.0,1500
"3 BHK Flat for Rent in ARS Green Villae Rosaceae, Sarjapur Road, Bangalore","ARS Green Villae Rosaceae, Sarjapur Road",26000,2.0,3.0,950
"3 BHK Flat for Rent in Vijaya Bank Layout Bommanahalli, Bangalore",Vijaya Bank Layout Bommanahalli,44999,2.0,3.0,1090
"2 BHK Flat for Rent in Kannamangala, Bangalore",Kannamangala,34000,2.0,2.0,790
"3 BHK Flat for Rent in Aanvi Alps, Sarjapur Road, Bangalore","Aanvi Alps, Sarjapur Road",45000,2.0,3.0,1450
"3 BHK Flat for Rent in Sobha HRC Pristine, Jakkur, Bangalore","Sobha HRC Pristine, Jakkur",130000,3.0,3.0,1475
"2 BHK Flat for Rent in Prestige Park View, Whitefield, Bangalore","Prestige Park View, Whitefield",65000,2.0,2.0,1017
4 BHK House for Rent in Mysore Road Bangalore,Mysore Road,35000,4.0,4.0,2400
"3 BHK Flat for Rent in Shanti Nagar, Bangalore",Shanti Nagar,120000,3.0,3.0,2142
"4 BHK Flat for Rent in Prestige Woodside, BSF Campus, Bangalore","Prestige Woodside, BSF Campus",100000,4.0,4.0,3122
"3 BHK Flat for Rent in L&T Raintree Boulevard, Hebbal, Bangalore","L&T Raintree Boulevard, Hebbal",150000,3.0,3.0,1430
"1 BHK Flat for Rent in Prestige Finsbury Park Regent, Bagalur Main Road, Bangalore","Prestige Finsbury Park Regent, Bagalur Main Road",21000,1.0,1.0,646
"3 BHK Flat for Rent in Haralur, Bangalore",Haralur,62000,3.0,3.0,1500
"3 BHK Flat for Rent in Hennur Main Road, Bangalore",Hennur Main Road,50000,3.0,3.0,1500
"3 BHK Flat for Rent in Sahakar Nagar, Bangalore",Sahakar Nagar,75000,3.0,3.0,1756
4 BHK House for Rent in Jayanagar Bangalore,Jayanagar,80000,3.0,4.0,2700
"2 BHK Flat for Rent in Mantri Serenity, Gubbalala, Subramanyapura, Bangalore","Mantri Serenity, Gubbalala, Subramanyapura",36000,2.0,2.0,880
"3 BHK Flat for Rent in Opulent Spire, Block 9th Jayanagara, Bangalore","Opulent Spire, Block 9th Jayanagara",190000,5.0,3.0,2400
"3 BHK Flat for Rent in Mahaveer Tuscan, Hoodi, Hoodi, Bangalore","Mahaveer Tuscan, Hoodi, Hoodi",65000,3.0,3.0,1370
"3 BHK Flat for Rent in Bellandur, Outer Ring Road, Bangalore","Bellandur, Outer Ring Road",80000,3.0,3.0,1750
"3 BHK Flat for Rent in Global Aura, Phase 1 Peenya, Bangalore","Global Aura, Phase 1 Peenya",22000,2.0,3.0,1350
2 BHK House for Rent in Stage 3rd RR Nagar Bangalore,Stage 3rd RR Nagar,14000,1.0,2.0,1200
"3 BHK Flat for Rent in Pashmina Waterfront, Battarahalli, Bangalore","Pashmina Waterfront, Battarahalli",60000,3.0,3.0,1857
"2 BHK House for Rent in Ranganatha Layout, Mahadevapura Bangalore","Ranganatha Layout, Mahadevapura",20000,2.0,2.0,1000
"3 BHK Flat for Rent in Krypton at Brigade Eldorado, Huvinayakanahalli, Bangalore","Krypton at Brigade Eldorado, Huvinayakanahalli",25000,2.0,3.0,800
"2 BHK Flat for Rent in Elegance Garnet, Bellandur, Outer Ring Road, Bangalore","Elegance Garnet, Bellandur, Outer Ring Road",50000,2.0,2.0,995
4 BHK Villa for Rent in Sahakar Nagar Bangalore,Sahakar Nagar,130000,4.0,4.0,3300
"2 BHK Flat for Rent in Kethana Eternal Blossom, Kadubeesanahalli, Bangalore","Kethana Eternal Blossom, Kadubeesanahalli",45000,2.0,2.0,1100
"2 BHK Flat for Rent in Incor Opulence, Gunjur, Bangalore","Incor Opulence, Gunjur",30000,2.0,2.0,900
"1 BHK Flat for Rent in Vittasandra, Bangalore",Vittasandra,7000,1.0,1.0,600
"3 BHK Flat for Rent in Max Sunflower, Kadugodi, Bangalore","Max Sunflower, Kadugodi",33000,3.0,3.0,1450
1 BHK House for Rent in anjanapura bda layout Bangalore,anjanapura bda layout,7700,1.0,1.0,530
"3 BHK Flat for Rent in Srinidhi Residency, Basavanagara, Bangalore","Srinidhi Residency, Basavanagara",22000,3.0,3.0,1580
"3 BHK Flat for Rent in Corporate Suncity Apartments, Sarjapur Road, Bangalore","Corporate Suncity Apartments, Sarjapur Road",63000,3.0,3.0,1805
"2 BHK Flat for Rent in Royal Garden, Hosur Road, Bangalore","Royal Garden, Hosur Road",30000,2.0,2.0,1080
"3 BHK Flat for Rent in Prestige Finsbury Park Regent, Bagaluru, Bangalore","Prestige Finsbury Park Regent, Bagaluru",38000,2.0,3.0,898
"3 BHK Flat for Rent in Prestige Lakeside Habitat, Whitefield, Bangalore","Prestige Lakeside Habitat, Whitefield",110000,3.0,3.0,1700
2 BHK House for Rent in Hallehalli Bangalore,Hallehalli,10000,1.0,2.0,600
4 BHK Villa for Rent in Sarjapur Road Bangalore,Sarjapur Road,55000,4.0,4.0,2032
2 BHK House for Rent in Annapoorneshwari Nagar Naagarabhaavi Bangalore,Annapoorneshwari Nagar Naagarabhaavi,11000,2.0,2.0,800
"1 BHK Flat for Rent in Sobha Dream Gardens, Thanisandra, Bangalore","Sobha Dream Gardens, Thanisandra",28000,1.0,1.0,752
2 BHK House for Rent in Ramohalli Bangalore,Ramohalli,20000,2.0,2.0,1200
2 BHK Flat for Rent in Bangalore,,16500,3.0,2.0,1200
"2 BHK Flat for Rent in GCN Green Springs, Vijayanagara, Bangalore","GCN Green Springs, Vijayanagara",18000,5.0,2.0,1100
2 BHK House for Rent in Stage 2nd Banashankari Bangalore,Stage 2nd Banashankari,30000,2.0,2.0,1100
"2 BHK Flat for Rent in UKN Interlaken, Whitefield, Bangalore","UKN Interlaken, Whitefield",65000,2.0,2.0,1230
4 BHK Villa for Rent in Stage 1 BTM Layout Bangalore,Stage 1 BTM Layout,75000,3.0,4.0,2500
3 BHK Flat for Rent in Bangalore,,25000,1.0,3.0,900
1 BHK House for Rent in Block 11th Anjanapura Bangalore,Block 11th Anjanapura,17000,1.0,1.0,600
"2 BHK Flat for Rent in V2 Win Apartments, Hennur Main Road, Bangalore","V2 Win Apartments, Hennur Main Road",30000,2.0,2.0,1050
"2 BHK Flat for Rent in Kogilu, Bangalore",Kogilu,15000,2.0,2.0,750
"1 BHK Flat for Rent in Garudachar Palya, Mahadevapura, Bangalore","Garudachar Palya, Mahadevapura",8500,1.0,1.0,1000
"3 BHK Flat for Rent in Tristar Aishwarya, Pattandur Agrahara, Whitefield, Bangalore","Tristar Aishwarya, Pattandur Agrahara, Whitefield",29000,3.0,3.0,1100
"2 BHK Flat for Rent in Balagere Road, Bangalore",Balagere Road,20000,2.0,2.0,650
"3 BHK Flat for Rent in Sadahalli, Bangalore",Sadahalli,32000,3.0,3.0,1000
3 BHK House for Rent in Mallasandra Bangalore,Mallasandra,30000,3.0,3.0,2000
"2 BHK Flat for Rent in SJR Park Vista, Sarjapur Road, Bangalore","SJR Park Vista, Sarjapur Road",70000,2.0,2.0,1225
2 BHK House for Rent in Yelahanka New Town Bangalore,Yelahanka New Town,19000,2.0,2.0,950
1 BHK House for Rent in Varthur Bangalore,Varthur,14000,1.0,1.0,600
"2 BHK Flat for Rent in Pragathi Mansion, Mathikere, Bangalore","Pragathi Mansion, Mathikere",24000,2.0,2.0,900
"2 BHK House for Rent in Sidedahalli, near Bagalagunte Bangalore","Sidedahalli, near Bagalagunte",16000,2.0,2.0,1000
"2 BHK Flat for Rent in Goyal Orchid Piccadilly, Thanisandra Main Road, Bangalore","Goyal Orchid Piccadilly, Thanisandra Main Road",39000,2.0,2.0,1000
"2 BHK Flat for Rent in Doddabanahalli, Bangalore",Doddabanahalli,20000,2.0,2.0,850
"3 BHK Flat for Rent in GRC Shreekrish, Sarjapur Road, Bangalore","GRC Shreekrish, Sarjapur Road",59000,3.0,3.0,1515
"3 BHK Flat for Rent in Prakruthi Solitaire, Electronic City, Bangalore","Prakruthi Solitaire, Electronic City",40000,3.0,3.0,1845
2 BHK House for Rent in Nagasandra Bangalore,Nagasandra,16800,2.0,2.0,1000
"3 BHK Flat for Rent in Tuscan Royale Manor, Hennur Main Road, Bangalore","Tuscan Royale Manor, Hennur Main Road",30000,3.0,3.0,2700
2 BHK House for Rent in Block 4th HBR Layout Bangalore,Block 4th HBR Layout,10500,1.0,2.0,1044
"3 BHK Flat for Rent in Neeladri Nagar, Bangalore",Neeladri Nagar,27500,3.0,3.0,1300
"2 BHK Flat for Rent in Brigade Panorama, Mysore Road, Bangalore","Brigade Panorama, Mysore Road",15000,2.0,2.0,980
"1 BHK Flat for Rent in Metro Eleganza, Garudachar Palya, Mahadevapura, Bangalore","Metro Eleganza, Garudachar Palya, Mahadevapura",10000,1.0,1.0,515
"3 BHK Flat for Rent in Isha Misty Green, Channasandra, Bangalore","Isha Misty Green, Channasandra",40000,2.0,3.0,1436
"2 BHK Flat for Rent in Doddabale, Bangalore",Doddabale,12000,2.0,2.0,750
"2 BHK Flat for Rent in Annasandrapalya Main Road, Bangalore",Annasandrapalya Main Road,35000,2.0,2.0,1180
4 BHK Villa for Rent in Thanisandra Bangalore,Thanisandra,90000,6.0,4.0,3500
"3 BHK Flat for Rent in Provident Welworth City, Doddaballapur Main Road, Bangalore","Provident Welworth City, Doddaballapur Main Road",20000,2.0,3.0,1075
"1 BHK Flat for Rent in Yemalur, Bellandur, Bangalore","Yemalur, Bellandur",12000,1.0,1.0,550
3 BHK House for Rent in Nagarbhavi 2nd stage Bangalore,Nagarbhavi 2nd stage,60000,3.0,3.0,1600
3 BHK House for Rent in Kalena Agrahara Bangalore,Kalena Agrahara,43000,4.0,3.0,3000
1 BHK Flat for Rent in Bangalore,,25000,1.0,1.0,450
"1 BHK House for Rent in Mcechs Layout, Jakkuru Bangalore","Mcechs Layout, Jakkuru",11999,3.0,1.0,650
"2 BHK Flat for Rent in Prestige Lake Ridge, Uttarahalli Hobli, Bangalore","Prestige Lake Ridge, Uttarahalli Hobli",40000,2.0,2.0,1358
"3 BHK Flat for Rent in Pashmina Waterfront, Battarahalli, Bangalore","Pashmina Waterfront, Battarahalli",65000,3.0,3.0,2100
"4 BHK Flat for Rent in Pulikeshi Nagar, Bangalore",Pulikeshi Nagar,110000,4.0,4.0,2500
2 BHK Flat for Rent in Bangalore,,37000,2.0,2.0,1100
4 BHK Villa for Rent in Budigere Cross Bangalore,Budigere Cross,110000,4.0,4.0,3700
"3 BHK Flat for Rent in Sai Poorna Premier, Kudlu Gate, Bangalore","Sai Poorna Premier, Kudlu Gate",55000,3.0,3.0,1535
2 BHK Flat for Rent in Bangalore,,12500,2.0,2.0,860
"3 BHK Flat for Rent in Pashmina Waterfront, RIFCO Shantiniketan Layout, Bangalore","Pashmina Waterfront, RIFCO Shantiniketan Layout",75000,3.0,3.0,1881
2 BHK House for Rent in Neeladri Nagar Bangalore,Neeladri Nagar,22000,2.0,2.0,1100
"2 BHK Flat for Rent in Kanaka Nagar Hebbal, Bangalore",Kanaka Nagar Hebbal,20000,2.0,2.0,1200
"2 BHK Flat for Rent in Mukund Apartments, Victoria Layout, Victoria Layout, Victoria Road, Bangalore","Mukund Apartments, Victoria Layout, Victoria Layout, Victoria Road",45000,2.0,2.0,1100
"3 BHK Flat for Rent in Keerthi Krishna Viva, Kasavanahalli, Bangalore","Keerthi Krishna Viva, Kasavanahalli",75000,3.0,3.0,1350
"3 BHK Villa for Rent in Ecc Road, Whitefield Bangalore","Ecc Road, Whitefield",150000,5.0,3.0,3688
"3 BHK Flat for Rent in Bhartiya City Nikoo Homes, Thanisandra, Bangalore","Bhartiya City Nikoo Homes, Thanisandra",48000,3.0,3.0,1306
"2 BHK Flat for Rent in Concorde Auriga, Medahalli Main Road, Bangalore","Concorde Auriga, Medahalli Main Road",40000,2.0,2.0,1264
"3 BHK Flat for Rent in Pashmina Waterfront, Battarahalli, Bangalore","Pashmina Waterfront, Battarahalli",70000,3.0,3.0,1300
2 BHK Flat for Rent in Bangalore,,18000,3.0,2.0,1150
"3 BHK Flat for Rent in Sumo Sonnet, Kudlu Gate, Bangalore","Sumo Sonnet, Kudlu Gate",65000,2.0,3.0,1205
4 BHK House for Rent in Stage 2 Naagarabhaavi Bangalore,Stage 2 Naagarabhaavi,40000,4.0,4.0,1760
"3 BHK House for Rent in Murugeshpalya, Bangalore Bangalore",Murugeshpalya,45000,1.0,3.0,1350
"1 BHK Flat for Rent in Eden At Brigade Cornerstone Utopia, Varthur, Bangalore","Eden At Brigade Cornerstone Utopia, Varthur",30000,1.0,1.0,799
"3 BHK Flat for Rent in Purva Zenium 2, Kempegowda International Airport Road, Bangalore","Purva Zenium 2, Kempegowda International Airport Road",45000,3.0,3.0,1463
"3 BHK Flat for Rent in Paramount Raghavendra Arisht, Kundalahalli, Brookefield, Bangalore","Paramount Raghavendra Arisht, Kundalahalli, Brookefield",65000,3.0,3.0,1200
"3 BHK Flat for Rent in DSR Whitewaters Phase 1, Sarjapur Road, Bangalore","DSR Whitewaters Phase 1, Sarjapur Road",65000,3.0,3.0,1596
2 BHK House for Rent in Naganathapura Rayasandra Bangalore,Naganathapura Rayasandra,70000,1.0,2.0,600
1 BHK House for Rent in Kanakapura Road Bangalore,Kanakapura Road,32000,1.0,1.0,950
"3 BHK Flat for Rent in Vigneshwara Cedar Woods, Hennur Main Road, Bangalore","Vigneshwara Cedar Woods, Hennur Main Road",32000,3.0,3.0,1759
4 BHK House for Rent in Muthanallur Bangalore,Muthanallur,16000,3.0,4.0,1225
3 BHK Flat for Rent in Bangalore,,35000,4.0,3.0,1100
"2 BHK Flat for Rent in United Elysium 2, Channasandra, Bangalore","United Elysium 2, Channasandra",34000,2.0,2.0,800
"2 BHK Flat for Rent in Block 2nd HBR Layout, Bangalore",Block 2nd HBR Layout,32000,4.0,2.0,1100
"3 BHK Flat for Rent in Vijayasri Eldorado, Old Madras Road, Bangalore","Vijayasri Eldorado, Old Madras Road",25000,2.0,3.0,1220
3 BHK House for Rent in Kaval Bairasandra Bangalore,Kaval Bairasandra,35000,2.0,3.0,2000
2 BHK House for Rent in Vidyaranyapura Bangalore,Vidyaranyapura,18000,2.0,2.0,1050
"3 BHK Flat for Rent in Brigade Northridge, Jakkur, Bangalore","Brigade Northridge, Jakkur",50000,3.0,3.0,1650
"3 BHK Flat for Rent in Mahaveer Ranches, Hosa Road, off Hosur Road, Bangalore","Mahaveer Ranches, Hosa Road, off Hosur Road",120000,1.0,3.0,2500
"3 BHK Flat for Rent in Mahaveer Ranches, Hosa Road, off Hosur Road, Bangalore","Mahaveer Ranches, Hosa Road, off Hosur Road",120000,1.0,3.0,2500
"1 BHK Flat for Rent in Devarachikkana Halli, Bangalore",Devarachikkana Halli,16000,1.0,1.0,500
"2 BHK Flat for Rent in Trendsquare Ortus Phase 2, Amrutahalli, Bangalore","Trendsquare Ortus Phase 2, Amrutahalli",50000,2.0,2.0,1221
"2 BHK Flat for Rent in BM Marvel, Whitefield, Bangalore","BM Marvel, Whitefield",35000,4.0,2.0,1236
4 BHK House for Rent in Jnanabharathi BDA Layout Bangalore,Jnanabharathi BDA Layout,99000,4.0,4.0,3900
2 BHK Flat for Rent in Bangalore,,40000,6.0,2.0,1340
"2 BHK Flat for Rent in The Foyer, Ramamurthy Nagar, Bangalore","The Foyer, Ramamurthy Nagar",25000,2.0,2.0,1150
"1 BHK House for Rent in Udayanagar Extension, Mahadevapura Bangalore","Udayanagar Extension, Mahadevapura",13000,1.0,1.0,350
"4 BHK Flat for Rent in Chikkanahalli, Bangalore",Chikkanahalli,150000,4.0,4.0,2232
4 BHK House for Rent in Hsr Layout Bangalore,Hsr Layout,150000,4.0,4.0,4500
1 BHK Villa for Rent in Mandur Bangalore,Mandur,12000,1.0,1.0,550
2 BHK House for Rent in Mudalapalya Bangalore,Mudalapalya,16000,2.0,2.0,1200
"2 BHK Flat for Rent in Candeur Rise, Varthur, Bangalore","Candeur Rise, Varthur",40000,2.0,2.0,850
2 BHK House for Rent in BTM LAYOUT 2nd Stage Bangalore,BTM LAYOUT 2nd Stage,19000,2.0,2.0,1800
"2 BHK Flat for Rent in NCN Crystal, Hagadur Main Road, Bangalore","NCN Crystal, Hagadur Main Road",29000,2.0,2.0,1000
"2 BHK Flat for Rent in Sattva Opus, Tumkur Road, Bangalore","Sattva Opus, Tumkur Road",35000,2.0,2.0,1239
2 BHK House for Rent in Muddinapalya Main Road Bangalore,Muddinapalya Main Road,20000,2.0,2.0,820
"3 BHK Flat for Rent in Concorde Amber, Sarjapur Road, Bangalore","Concorde Amber, Sarjapur Road",45000,2.0,3.0,1100
2 BHK House for Rent in Block 11th Anjanapura Bangalore,Block 11th Anjanapura,26500,1.0,2.0,1000
"1 BHK Flat for Rent in Midtown Raaga, Kodigenahalli, Bangalore","Midtown Raaga, Kodigenahalli",12000,1.0,1.0,450
2 BHK Flat for Rent in Bangalore,,16000,3.0,2.0,975
"3 BHK Flat for Rent in Puravankara Purva Westend, Hosur Road, Bangalore","Puravankara Purva Westend, Hosur Road",75000,3.0,3.0,1511
4 BHK Villa for Rent in Jigani Bangalore,Jigani,86000,6.0,4.0,4927
"3 BHK Flat for Rent in Northroof Nitesh Hyde Park II, Hulimavu, Bangalore","Northroof Nitesh Hyde Park II, Hulimavu",35000,2.0,3.0,1222
3 BHK House for Rent in Gandhi Nagar Yelahanka Bangalore,Gandhi Nagar Yelahanka,80000,2.0,3.0,2000
3 BHK Flat for Rent in Bangalore,,18000,3.0,3.0,950
2 BHK House for Rent in Koramangala Bangalore,Koramangala,18000,2.0,2.0,600
3 BHK Villa for Rent in Alur Bangalore,Alur,120000,3.0,3.0,1400
"1 BHK Flat for Rent in Soukya Road, Bangalore",Soukya Road,16000,1.0,1.0,300
"3 BHK Flat for Rent in Mahaveer Tranquil, Itpl, Whitefield, Bangalore","Mahaveer Tranquil, Itpl, Whitefield",32000,3.0,3.0,1564
"1 BHK Flat for Rent in Someshvarapura Layout, Jogupalya, Bangalore","Someshvarapura Layout, Jogupalya",13000,1.0,1.0,450
2 BHK House for Rent in Ayyepa Nagar Bangalore,Ayyepa Nagar,13500,2.0,2.0,1150
"3 BHK Flat for Rent in Mahaveer Ranches, Hosa Road Area, Bangalore","Mahaveer Ranches, Hosa Road Area",60000,2.0,3.0,1364
2 BHK House for Rent in Smv layout 1st block Bangalore,Smv layout 1st block,16000,2.0,2.0,900
4 BHK Villa for Rent in Kannuru Bangalore,Kannuru,200000,5.0,4.0,3000
2 BHK House for Rent in Anchepalya Bangalore,Anchepalya,13000,2.0,2.0,1200
"2 BHK Flat for Rent in Metropolis Gurukrupa, A Block AECS Layout, Bangalore","Metropolis Gurukrupa, A Block AECS Layout",32000,2.0,2.0,1240
"3 BHK Flat for Rent in Yelachenahalli, Kumaraswamy Layout, Kanakapura Road, Bangalore","Yelachenahalli, Kumaraswamy Layout, Kanakapura Road",26000,2.0,3.0,1150
1 BHK House for Rent in Sarjapur Road Bangalore,Sarjapur Road,12000,1.0,1.0,600
2 BHK House for Rent in Bagalur Main Road Bangalore,Bagalur Main Road,12000,2.0,2.0,1100
1 BHK House for Rent in R T Nagar Bangalore,R T Nagar,8000,1.0,1.0,300
"2 BHK House for Rent in Kamakya Layout, Banashankari Stage 3 Bangalore","Kamakya Layout, Banashankari Stage 3",11000,2.0,2.0,800
"2 BHK Flat for Rent in SBB Sapphire, Nallurahalli Main Road, Bangalore","SBB Sapphire, Nallurahalli Main Road",45000,2.0,2.0,1215
3 BHK Flat for Rent in Bangalore,,120000,4.0,3.0,1800
2 BHK House for Rent in Sector 3 HSR Layout Bangalore,Sector 3 HSR Layout,21000,2.0,2.0,950
"3 BHK Flat for Rent in Yuva NDR Abode, Aecs Layout-Singasandra, Singasandra, Hosur Road, Bangalore","Yuva NDR Abode, Aecs Layout-Singasandra, Singasandra, Hosur Road",32000,2.0,3.0,1310
5 BHK Villa for Rent in White Orchids Whitefield Bangalore,White Orchids Whitefield,100000,4.0,5.0,3200
5 BHK Villa for Rent in White Orchids Whitefield Bangalore,White Orchids Whitefield,100000,4.0,5.0,3200
3 BHK Flat for Rent in Bangalore,,110000,3.0,3.0,2100
"1 BHK House for Rent in Lingarajapuram, Lingarajapuram, Hennur Main Road Bangalore","Lingarajapuram, Lingarajapuram, Hennur Main Road",7500,1.0,1.0,600
"2 BHK Flat for Rent in Paradise Lakshmi Eswaran Paradise, Kacharakanahalli, Bangalore","Paradise Lakshmi Eswaran Paradise, Kacharakanahalli",22000,2.0,2.0,735
4 BHK Villa for Rent in Sarjapura Attibele Road Bangalore,Sarjapura Attibele Road,60000,4.0,4.0,4750
2 BHK House for Rent in Margondanahalli Bangalore,Margondanahalli,25000,2.0,2.0,1150
1 BHK House for Rent in Vishwanath Naganahalli Main Road Bangalore,Vishwanath Naganahalli Main Road,12000,1.0,1.0,600
2 BHK House for Rent in Jc Nagar Bangalore,Jc Nagar,10000,2.0,2.0,600
"2 BHK Flat for Rent in Annaiah Reddy Layout Dodda Banaswadi, Bangalore",Annaiah Reddy Layout Dodda Banaswadi,28000,2.0,2.0,1100
3 BHK Flat for Rent in Bangalore,,85000,3.0,3.0,1500
"2 BHK Flat for Rent in Hosa Road, off Hosur Road, Bangalore","Hosa Road, off Hosur Road",16500,2.0,2.0,1065
"3 BHK Flat for Rent in Hoodi, Hoodi, Bangalore","Hoodi, Hoodi",30000,3.0,3.0,1915
"3 BHK Flat for Rent in Sumadhura Silver Ripples, Borewell Road, Bangalore","Sumadhura Silver Ripples, Borewell Road",70000,3.0,3.0,1500
1 BHK House for Rent in Yelahanka Bangalore,Yelahanka,9000,2.0,1.0,700
2 BHK House for Rent in Vidyapeeta Layout Bangalore,Vidyapeeta Layout,10000,1.0,2.0,550
"2 BHK Flat for Rent in Himagiri Paradise, CV Raman Nagar, Bangalore","Himagiri Paradise, CV Raman Nagar",20000,2.0,2.0,960
"2 BHK Flat for Rent in Signature Meadows, Bangalore",Signature Meadows,23000,2.0,2.0,600
4 BHK House for Rent in Gottigere Road Bangalore,Gottigere Road,75000,2.0,4.0,4000
"1 BHK Flat for Rent in V R Residency, Gulimangala, Bangalore","V R Residency, Gulimangala",12500,1.0,1.0,400
"3 BHK Flat for Rent in Pavani Oakridge, Bangalore",Pavani Oakridge,32000,5.0,3.0,1810
1 BHK Flat for Rent in Bangalore,,25000,1.0,1.0,450
2 BHK House for Rent in 293 gruhalakshmi layout near nagasandra metro opp bbmp park Bangalore,293 gruhalakshmi layout near nagasandra metro opp bbmp park,20000,2.0,2.0,1200
